first_name,last_name,age,gender,married,net_worth,birth_date
Noah,Taylor,45,true,false,37753707,1977-12-06
Natalie,Thomas,87,false,false,85131720,1936-09-24
Ethan,Garcia,24,true,false,12114473,1998-11-08
Anthony,Thomas,69,true,true,82925766,1953-11-04
Sophia,Thomas,37,false,false,88334302,1986-06-30
Avery,Smith,47,false,false,85029557,1976-09-28
Chloe,White,21,false,false,68003327,2002-01-26
William,Martin,68,true,false,56704122,1955-02-10
Zoey,Thompson,80,false,false,54129003,1943-08-13
Benjamin,Wilson,41,true,true,65971442,1981-11-20
Zoey,Martinez,26,false,false,18912579,1997-06-13
Emma,Moore,83,false,true,71531890,1939-11-05
Ella,Garcia,38,false,false,39048159,1985-05-25
Emma,Davis,43,false,true,50154592,1980-02-03
Elijah,Garcia,90,true,false,7127312,1933-10-01
Daniel,Williams,46,true,false,62487449,1977-04-10
Andrew,Smith,89,true,false,73139335,1933-10-30
Ava,Jones,19,false,false,6014201,2004-03-01
Chloe,Taylor,61,false,false,98156134,1962-04-08
Addison,Anderson,53,false,false,8871535,1969-10-14
Ella,Thomas,28,false,false,23302234,1994-10-14
Liam,Martinez,27,true,true,4403390,1996-03-21
Daniel,Robinson,89,true,true,56223800,1934-10-06
Madison,Davis,37,false,true,23820234,1986-01-28
Noah,Wilson,27,true,false,44822422,1996-08-03
Andrew,Harris,27,true,false,30828536,1996-06-10
Emma,Thomas,45,false,true,32364989,1978-09-02
Anthony,Moore,75,true,true,43931532,1947-10-21
Olivia,Jackson,20,false,false,25121446,2003-04-04
Olivia,Anderson,86,false,false,29325637,1937-03-03
Mason,Taylor,25,true,false,7665844,1998-04-04
Ethan,Taylor,22,true,false,75845838,2000-10-06
Ava,Harris,64,false,false,6360164,1959-04-01
Aiden,Moore,67,true,false,81311378,1955-11-16
David,Thomas,82,true,true,88202408,1941-09-18
Zoey,Garcia,70,false,true,61594204,1953-05-12
Jacob,Robinson,76,true,false,47365982,1947-01-18
Addison,Thomas,41,false,false,76058364,1982-03-13
Charlotte,Thompson,42,false,true,19105703,1981-05-06
Benjamin,Moore,52,true,false,92954430,1971-09-17
Aiden,Williams,60,true,false,44142356,1963-08-16
Liam,White,74,true,true,52303289,1949-07-07
Ethan,Moore,22,true,true,63455786,2000-12-06
Daniel,Moore,34,true,false,84216929,1989-05-08
Lily,Brown,55,false,false,76064428,1968-02-07
Lily,Thomas,56,false,true,35430793,1967-01-18
Zoey,Garcia,73,false,false,38200629,1950-09-17
David,Johnson,40,true,true,36067276,1983-04-11
Ethan,Thomas,84,true,true,96235241,1938-10-24
Joshua,Williams,54,true,true,18494434,1969-03-27
Elizabeth,Garcia,40,false,false,1460031,1983-01-26
Charlotte,Miller,24,false,true,56897091,1999-01-05
Zoey,Jackson,55,false,false,69607528,1968-10-04
Mason,Martinez,34,true,true,84699805,1989-01-03
Ava,Johnson,37,false,true,24218077,1986-06-25
Emily,Martinez,63,false,true,54409104,1960-08-10
Daniel,Garcia,86,true,false,70045191,1937-03-29
Zoey,Jackson,52,false,true,84074958,1971-07-06
Andrew,Thomas,89,true,true,76460313,1934-09-11
Michael,Johnson,36,true,true,59564471,1987-02-24
Avery,Smith,68,false,false,70438259,1955-09-13
Ella,Miller,52,false,true,14827943,1971-09-05
Aiden,Garcia,26,true,true,80942007,1997-06-24
Jayden,Davis,20,true,true,57246027,2003-08-06
Michael,Davis,86,true,false,80877101,1936-12-09
Madison,Garcia,82,false,false,68159656,1941-03-17
William,Martin,75,true,false,83963923,1948-07-19
Daniel,Moore,42,true,true,2513187,1981-06-28
Daniel,Robinson,47,true,false,63310090,1975-12-19
Jacob,Robinson,47,true,true,24016551,1976-09-20
Avery,Davis,60,false,false,95936722,1963-08-03
Isabella,Jackson,19,false,false,9118017,2003-12-14
Aubrey,Brown,20,false,false,33179746,2003-09-25
Aiden,Moore,40,true,true,52572104,1983-01-31
Mason,Moore,66,true,true,41408201,1957-07-18
Olivia,White,86,false,true,9033341,1937-04-10
Joshua,Jones,23,true,false,47101547,2000-02-18
James,Martin,29,true,true,8160910,1993-10-05
Zoey,Taylor,79,false,false,88670864,1944-06-02
Addison,Davis,80,false,true,63664267,1942-10-14
Charlotte,Jones,39,false,true,60237784,1983-10-05
Ethan,Moore,82,true,false,80569099,1940-11-21
Joseph,Jones,66,true,false,68626607,1957-05-25
Ella,Martinez,32,false,true,1224411,1991-09-14
Aiden,Martinez,77,true,false,37280465,1946-10-06
Noah,Williams,57,true,false,45898928,1966-09-12
Avery,White,61,false,false,58452941,1962-06-07
Chloe,Harris,65,false,false,72372850,1958-06-18
Daniel,Brown,36,true,true,52507339,1987-02-20
Ella,Harris,67,false,false,16543859,1956-05-23
Natalie,Williams,84,false,true,21286179,1939-01-20
David,Harris,57,true,false,97589180,1966-09-22
James,Thompson,43,true,false,52295086,1980-03-28
Alexander,Moore,79,true,false,26782195,1944-04-27
Aiden,Williams,29,true,true,94946726,1994-05-25
Lily,Johnson,84,false,true,65858179,1939-04-26
Charlotte,Jones,78,false,true,8086999,1945-02-02
Michael,Smith,88,true,true,57792893,1935-02-04
Abigail,Williams,86,false,true,38189389,1937-06-18
Jacob,Thompson,54,true,true,83760234,1969-07-06
Matthew,Jones,59,true,false,87668178,1964-02-15
Michael,Thomas,32,true,true,89800773,1991-01-13
Mia,Davis,62,false,true,69667818,1961-08-12
Alexander,Harris,84,true,true,75197301,1939-08-18
Addison,Brown,21,false,true,50530619,2001-12-23
Isabella,Harris,28,false,true,24589761,1995-09-13
Ella,White,44,false,false,63174454,1978-12-20
Natalie,Thomas,46,false,true,8316485,1977-08-07
Olivia,Smith,59,false,false,60405592,1964-05-19
Aiden,Robinson,22,true,true,53545983,2000-12-10
Isabella,Brown,42,false,false,91562682,1980-10-05
Madison,Smith,40,false,false,15268243,1983-05-26
Daniel,Smith,34,true,true,46724605,1989-01-21
Lily,Thompson,28,false,false,47762570,1995-06-07
Elijah,Johnson,26,true,true,50174458,1997-08-21
Avery,Martinez,55,false,false,42526509,1967-12-05
Sofia,Miller,89,false,false,68524171,1934-09-28
Lily,White,48,false,true,57661612,1975-03-15
James,Taylor,78,true,true,68537606,1945-03-13
Benjamin,Johnson,79,true,false,11552940,1943-10-20
Elizabeth,Garcia,41,false,false,28886449,1982-05-08
Natalie,Jones,77,false,true,5723228,1946-06-08
Isabella,Johnson,31,false,true,92040198,1991-12-24
Mason,Williams,45,true,true,88810614,1978-07-02
David,Martin,45,true,false,14842708,1978-08-18
Olivia,Thompson,80,false,false,10089959,1943-02-12
Madison,Martinez,84,false,true,28553639,1939-04-16
Matthew,Martin,74,true,true,23553296,1949-01-20
Emily,Martinez,38,false,false,14251264,1985-04-06
Liam,Jackson,29,true,true,42257541,1994-04-29
Chloe,Harris,47,false,false,32868635,1976-08-11
Zoey,Johnson,80,false,true,50325895,1943-04-05
David,White,85,true,false,65650034,1938-03-24
Elizabeth,Martin,81,false,false,72006049,1942-09-17
Madison,Wilson,23,false,true,23822726,1999-10-23
Emma,Davis,49,false,false,44904352,1974-09-25
James,Robinson,89,true,false,7435410,1934-10-03
William,Thompson,67,true,false,73106463,1955-11-05
Anthony,Wilson,46,true,false,19753060,1976-12-19
Elizabeth,Smith,65,false,false,49172646,1958-04-24
Aiden,Harris,23,true,false,40074641,1999-12-12
Anthony,Garcia,52,true,false,30392799,1970-11-24
William,Martin,44,true,false,40958341,1979-01-09
Daniel,Jackson,87,true,true,53227976,1936-07-04
Charlotte,Smith,84,false,false,19361588,1939-06-12
Aubrey,Jackson,47,false,false,9097213,1976-07-31
Liam,Robinson,39,true,true,96489472,1983-11-23
Liam,Miller,73,true,false,2398660,1950-01-15
Elijah,Moore,63,true,true,77085620,1960-09-19
Sofia,Johnson,35,false,false,31246909,1987-11-30
Chloe,Wilson,75,false,false,3176439,1947-10-29
Aiden,Martinez,25,true,false,42305050,1997-11-20
Jacob,Wilson,90,true,false,36316546,1933-03-18
Noah,Taylor,75,true,false,86581707,1947-10-15
Addison,Brown,50,false,true,21491003,1973-03-14
Aubrey,Wilson,32,false,true,73505833,1991-05-20
Jayden,Johnson,76,true,true,37173019,1947-01-03
Joshua,Johnson,20,true,false,45032137,2003-04-16
Addison,Taylor,75,false,true,70586734,1948-04-07
Chloe,Anderson,78,false,false,34042102,1945-03-11
Ava,White,78,false,true,4668352,1945-05-26
Liam,Miller,26,true,true,24204996,1997-09-10
Alexander,Jones,60,true,true,55442510,1962-10-26
Madison,Thomas,67,false,true,60966208,1956-09-08
Chloe,Martin,55,false,true,82351530,1968-09-25
Madison,Anderson,67,false,true,60322882,1956-03-18
Aubrey,White,49,false,true,15260439,1974-05-17
Joshua,Martinez,59,true,false,28908153,1964-02-21
Mason,Moore,85,true,true,82553997,1938-02-15
Noah,Anderson,60,true,false,2097954,1963-04-28
Emily,Brown,46,false,true,31656834,1977-03-31
Emma,Wilson,65,false,true,37872550,1957-12-31
Emma,Martin,19,false,false,52647418,2004-01-25
Elijah,Johnson,39,true,false,48859991,1983-10-30
Lily,Smith,80,false,false,14755791,1943-07-08
Abigail,Thompson,70,false,true,35788969,1953-01-02
Jayden,Jones,66,true,true,43954173,1957-03-21
Zoey,Jackson,45,false,true,64928569,1978-07-28
Daniel,Smith,79,true,false,87654324,1944-06-27
James,Robinson,53,true,false,13636809,1970-02-13
David,Jackson,24,true,false,98955540,1998-10-19
Sofia,Martin,20,false,false,29572967,2003-09-11
Ethan,White,54,true,true,51819480,1969-03-01
Isabella,Garcia,84,false,true,89597809,1939-09-24
Jayden,Martin,22,true,false,51404550,2001-03-25
William,Jackson,50,true,true,50303466,1973-04-08
Charlotte,Harris,37,false,false,82821193,1986-07-23
Matthew,Thomas,54,true,false,44752926,1969-05-20
Jayden,Martin,59,true,true,14624879,1963-11-21
